Dish,Description,Cuisine,Rating,Restaurants
Hainanese chicken rice,based on the Hainanese dish Wenchang chicken. It is considered Singapore's national dish.,Chinese,3.48,
Hainanese curry rice,is a dish consisting of steamed white rice smothered in a mess of curries and braised gravy.,Chinese,3.27,
Har cheong gai,shrimp paste chicken - chicken wings fried in a batter with fermented shrimp paste.,Chinese,3.13,
Hokkien mee,"egg noodles and rice noodles stir-fried with egg, slices of pork, prawns and squid, and served and garnished with spring onion, lard, sambal chilli and lime (for adding lime juice to the dish).",Chinese,4.94,
Hum chim peng,a deep-fried bun-like pastry sometimes filled with bean paste.,Chinese,4.97,
Kaya toast,"a traditional breakfast dish. Kaya is a sweet coconut and egg jam which is spread over toasted bread. Combined with a cup of local coffee and a half-boiled egg, this constitutes a typical Singaporean breakfast.",Chinese,3.07,
Kuay chap,"a Teochew dish of flat, broad rice sheets in a soup made with dark soy sauce, served with pig offal, braised duck meat, various kinds of beancurd, preserved salted vegetables, and braised hard-boiled eggs.",Chinese,3.76,
Mee pok,"a noodle dish characterised by its flat and yellow appearance, varying in thickness and width.",Chinese,4.36,
Min chiang kueh,"a thick, chewy pancake with a ground peanut and sugar filling. Other variations include grated coconut and red bean paste. This traditional snack also is served in blueberry, cheese and chocolate varieties.",Chinese,3.21,
Oyster omelette,"a dish of omelette cooked with fresh raw oysters,tapioca starch and eggs.",Chinese,4.73,
Pig's brain soup,a soup dish comprising pig brain with Chinese herbs.,Chinese,3.33,
Pig fallopian tubes,a dish comprising stir-fried pig Fallopian tubes with vegetables and sambal chilli.,Chinese,4.03,
Pig's organ soup,a soup-based variant of kuay chap,Chinese,3.2,
Pig's trotters,usually braised in black sauce and vinegar.,Chinese,4.74,
Popiah,"Hokkien/Teochew-style spring roll or rolled crêpe, stuffed with stewed turnip, Chinese sausage, shrimp and lettuce.",Chinese,3.25,
Shredded chicken noodles,"a noodles dish topped with shredded chicken, fish dumpling and mushroom.",Chinese,3.57,
Sliced fish soup,a soup dish consisting of fish and vegetables.,Chinese,3.07,
Soon kway,a white vegetable dumpling with black soy sauce.,Chinese,3.48,
Teochew porridge,a rice porridge dish consumed with a selection of local side dishes.,Chinese,4.11,
Turtle soup,a soup or stew made from turtle flesh.,Chinese,4.82,
Vegetarian bee hoon,"thin braised rice vermicelli to which a choice of various gluten, vegetable, or beancurd-based delicacies may be added.",Chinese,3.96,
Yong Tau Foo,"a dish that contains a varied selection of food items, including tofu filled with ground meat mixture or fish paste, fish balls, crab sticks, an assortment of vegetables and meat.",Chinese,3.83,
Youtiao,"also called yew char kueh, fried dough crullers similar to those served in other Chinese cuisines around the world.",Chinese,3.29,
Acar,"pickled vegetables or fruits with dried chilli, peanuts, and spices. Indian and Peranakan versions can also be found.",Malay,4.79,
Assam pedas,"seafood and vegetables cooked in a sauce consisting of tamarind, coconut milk, chilli, and spices.",Malay,4.61,
Ayam penyet,fried chicken dish consisting of fried chicken that is smashed with the pestle against mortar to make it softer and a relatively new culinary phenomenon of Indonesian origin.,Malay,3.45,
Bakso,"also Ba'so, meatballs served with noodles.",Malay,4.92,
Begedil,mashed potato mixture that is fried into patties and eaten together with mee soto.,Malay,4.03,
Curry puff,"also known as epok-epok, a flaky pastry usually stuffed with curry chicken, potato cubes, and a slice of hard-boiled egg. Sardines are sometimes used in place of chicken.",Malay,3.8,
Dendeng paru,a dish of dried beef lung cooked in spices.,Malay,4.54,
Goreng pisang,"bananas rolled in flour, fried, and eaten as a snack.",Malay,3.95,
Gudeg putih,white jackfruit curry.,Malay,4.13,
Gulai daun ubi,sweet potato leaves stewed in coconut milk.,Malay,3.79,
Keropok,"deep fried crackers usually flavoured with shrimp, but sometimes with fish or vegetables.",Malay,4.07,
Ketupat,rice cakes steamed in a square-shaped coconut leaf wrapping and usually served with satay.,Malay,4.52,
Lemak siput,shellfish cooked in a thick coconut milk-based gravy.,Malay,4.43,
Lontong,compressed rice cakes (see ketupat) in a spicy vegetable soup.,Malay,3.32,
Nagasari,a rice snack with Indonesian origins.,Malay,4.34,
Nasi goreng,"steamed rice stir-fried in a wok, often mixed with other ingredients, such as eggs, vegetables and meat.",Malay,3.4,
Nasi Padang,"a steamed white rice served with an array – sometimes as many as 12, or more – of pre-cooked dishes, the mini banquet usually laid out style in small plates.",Malay,3.68,
Otak-otak/otah,spicy fish cake grilled in a banana leaf wrapping.,Malay,3.05,
Pecel lele,fried catfish served with chilli paste.,Malay,3.03,
Rawon,beef soup.,Malay,3.03,
Rojak bandung,a variant of Singaporean style rojak.,Malay,3.23,
Roti john,an omelette sandwich.,Malay,4.78,
Sambal,"not a dish in itself, but a common chilli-based accompaniment to most foods.",Malay,4.15,
Satay,"grilled meat on skewers served with satay sauce (a spicy peanut sauce) and usually eaten with ketupat, cucumber and onions.",Malay,4.15,
Sayur lodeh,a mix of vegetables in coconut milk.,Malay,3.98,
Soto,a soup dish mainly composed of meat and vegetables.,Malay,3.78,
Soto ayam,"a spicy chicken soup that features chicken shreds, rice cakes and sometimes begedil.",Malay,4.98,
Tumpeng,a cone-shaped rice dish of Javanese origin. It is served with side dishes of vegetables and meat.,Malay,3.75,
Appam,a fermented rice pancake.,Indian,3.38,
Dosa,"rice and lentil pancake. Commonly served as a masala"" version that includes spiced potatoes and is served with different types of sambar.""",Indian,3.21,
Murtabak,"an Indian-Muslim dish originating from the Middle East. It consists of folded dough stuffed with spiced minced meat, onions and egg, and is often served with curry.",Indian,3.81,
Naan,an Indian oven-baked flatbread.,Indian,4.97,
Putu mayam,rice flour noodle served with sugar and coconut usually eaten for breakfast.,Indian,3.17,
Roti prata,"a local evolution of the Pakistani and Indian paratha. It is a popular dish for breakfast and supper. It is a fried bread pancake that is crispy on the outside and soft on the inside. The dough is flipped to attain the right texture, then cooked quickly on a greased stove and served with curry or sugar. A plethora of modern variations are available, including egg, cheese, chocolate, masala, durian and even ice cream.",Indian,4.34,
Soup kambing,a local Tamil-Muslim dish of spiced mutton soup.,Indian,3.08,
Soup tulang,a local Tamil-Muslim dish of mutton or beef leg bones stewed in a spice. The bones are broken to allow the marrow to be eaten.,Indian,4.65,
Soup tulang merah,"a dish consisting of mutton or beef bones stewed in a sweet and spicy red soup of mutton stock, tomatoes, ginger, chillies and spices.  It's considered a Singapore invention",Indian,3.75,
Tandoori chicken,chicken marinated in a mixture of spices and yogurt and cooked in a clay oven.,Indian,3.2,
Vadai,"spicy, deep-fried snacks that are made from dhal, lentils or potato.",Indian,3.18,
Ayam buah keluak,a Peranakan dish of chicken stewed with spices and Southeast Asian black nuts (buah keluak).,Fusion,3.69,
Biryani (Indian variant) or Nasi Briyani (Malay variant),a popular mixed rice dish commonly found in places offering Malay or Indian food.,Fusion,3.24,
Cereal prawns (麦片虾; mài piàn xiā),stir-fried prawns with sweetened cereal.,Fusion,4.14,
Chili Crab Pasta,pasta served with chili crab.,Fusion,3.95,
Curry laksa,"a Peranakan dish of vermicelli noodles and fried bean curd served in a creamy coconut sauce with slices of shrimp, fish, and cockles. Can be served in a tamarind-filled variant with shredded mackerel and mangosteen.",Fusion,4.24,
Fish head curry,"a dish created by Singapore's Malayalee (an Indian ethnic group from Kerala) community with some Chinese and Malay influences. The head of a red snapper (ikan merah, literally red fish"") stewed in curry consisting of varying amounts of coconut milk and tamarind juice",Fusion,3.29,
Kari debal,"a Eurasian Singaporean curry dish with Portuguese and Peranakan influences. Includes chicken, cabbage, sausage, and bacon pieces stewed in a curry sauce.",Fusion,4.87,
Kari lemak ayam,a Peranakan chicken curry with a coconut milk base,Fusion,3.44,
Katong Laksa,"a Singaporean thick rice noodles (bee hoon) in a coconut curry gravy with prawn and egg. Sometimes chicken, tau pok (beancurd puffs) or fish cake may be added.",Fusion,3.94,
Kueh Tutu,steamed rice flour pastries with a sweet shredded coconut or peanut filling,Fusion,3.34,
Kueh Pie Tee,"a thin and crispy pastry tart shell filled with a spicy, sweet mixture of thinly sliced vegetables and prawns.",Fusion,3.29,
Kway teow goreng, stir-fried flat rice noodles.,Fusion,3.31,
Mee rebus,"egg noodles with a spicy slightly sweet curry-like gravy. The gravy is made from sweet potatoes, curry powder, water, salted soybeans, dried shrimp and peanuts.",Fusion,4.32,
Mee siam, a dish of thin rice vermicelli.,Fusion,4.34,
Mee goreng,"yellow egg noodles stir fried with ghee, tomato sauce, chilli, eggs, vegetables, and various meats and seafood.",Fusion,4.02,
Mee soto, a spicy noodle soup dish.,Fusion,4.33,
Rojak,a traditional fruit and vegetable salad dish of Indian origin and with Malay/Indonesian influences.,Fusion,3.76,
Sambal kangkong, a dish of water spinach (kangkong) fried in sambal.,Fusion,4.02,
Satay bee hoon,"rice noodles served with cuttlefish, fried bean curd puffs, cockles and water spinach in satay sauce.",Fusion,3.27,
Tauhu goreng, fried bean curd with sweet sauce.,Fusion,3.95,
Black pepper crab, hard shell crabs cooked in a black pepper sauce. Salted Egg crab and buttermilk crab are also common.,Seafood,3.5,
Chilli crab,"hard shell crabs cooked in chilli sauce, usually served with man tou, or deep fried buns.",Seafood,3.62,
Oyster omelette,"an oyster omelette mixed with flour and fried, served garnished with coriander.",Seafood,3.75,
Sambal lala, soft shell clams fried with sambal sauce,Seafood,4.17,
Sambal stingray/hang hir,"smothered in sambal and served on banana leaf, also known as ikan bakar in Malay.",Seafood,3.77,
Bubur cha cha,"a dish of pearled sago, sweet potatoes, yams, bananas, black-eyed peas, pandan leaves, sugar, and salt cooked in coconut milk and served hot or cold.",Dessert,3.73,
Chendol,"basic version consist of pandan jelly strips with coconut milk and gula melaka syrup with shaved iced; other ingredients which could be added are red beans, sweet corns, ice cream and even durians.",Dessert,4.66,
Cheng tng,"a light, refreshing soup with longan, barley, agar strips, lotus seeds and a sweet syrup, served either hot or cold. It is analogous to the Cantonese Ching bo leung.",Dessert,3.7,
Ice kacang,"a mound of grated ice on a base consisting of jelly, red beans, corn and attap seeds, topped with various kinds of coloured sugar syrups, palm sugar, rose syrup and evaporated milk.",Dessert,3.16,
Kuih or kueh,"small cakes or coconut milk based desserts that come in a variety of flavours, usually containing fruit such as durian or banana. Pandan is a common flavouring.",Dessert,4.9,
Kueh lapis,"a rich, multi-layered cake-style kueh using a large amount of egg whites and studded with prunes.",Dessert,3.35,
Lapis sagu,"a popular kueh with layers of alternating colour and a sweet, coconut taste.",Dessert,4.64,
Orh-nee,"a Teochew dish consisting of taro (locally known as yam) paste, coconut paste and ginkgo nuts.",Dessert,3.56,
Pulut hitam,a creamy dessert made of black glutinous rice and served with coconut cream.,Dessert,4.98,
Tau suan,"mung beans in jelly, served hot with dough crullers.",Dessert,3.77,
